number,greek,english,image
80,η Ιταλία,Italy,assets/80.png
81,ο Ιταλός,the Italian man/boy,assets/81.png
82,η Ιταλίδα,the Italian woman/girl,assets/82.png
83,τα ιταλικά,Italian (the language),assets/83.png
84,η Ρώμη,Rome,assets/84.png
85,η Ρωσία,Russia,assets/85.png
86,ο Ρώσος,the Russian man/boy,assets/86.png
87,η Ρωσίδα,the Russian woman/girl,assets/87.png
88,τα ρωσικά,Russian (the language),assets/88.png
89,η Μόσχα,Moscow,assets/89.png
90,η Αγγλία,England,assets/90.png
91,ο Άγγλος,the English man/boy,assets/91.png
92,η Αγγλίδα,the English woman/girl,assets/92.png
93,η Γαλλία,France,assets/93.png
94,ο Γάλλος,the French man/boy,assets/94.png
95,η Γαλλίδα,the French woman/girl,assets/95.png
96,τα γαλλικά,French (the language),assets/96.png
97,το Παρίσι,Paris,assets/97.png
98,ο Καναδάς,Canada,assets/98.png
99,ο Καναδός,the Canadian man/boy,assets/99.png
100,η Καναδή,the Canadian woman/girl,assets/100.png
101,η Γερμανία,Germany,assets/101.png
102,ο Γερμανός,the German man/boy,assets/102.png
103,η Γερμανίδα,the German woman/girl,assets/103.png
104,τα γερμανικά,German (the language),assets/104.png
105,η Ολλανδία,the Netherlands,assets/105.png
106,ο Ολλανδός,the Dutch man/boy,assets/106.png
107,η Ολλανδέζα,the Dutch woman/girl,assets/107.png
108,τα ολλανδικά,Dutch (the language),assets/108.png
109,η Αυστραλία,Australia,assets/109.png
110,ο Αυστραλός,the Australian man/boy,assets/110.png
111,η Αυστραλέζα,the Australian woman/girl,assets/111.png
112,η Κίνα,China,assets/112.png
113,ο Κινέζος,the Chinese man/boy,assets/113.png
114,η Κινέζα,the Chinese woman/girl,assets/114.png
115,τα κινέζικα,Chinese (the language),assets/115.png
116,το Πεκίνο,Beijing,assets/116.png
117,η Ιαπωνία,Japan,assets/117.png
118,ο Γιαπωνέζος,the Japanese man/boy,assets/118.png
119,η Γιαπωνέζα,the Japanese woman/girl,assets/119.png
120,τα γιαπωνέζικα,Japanese (the language),assets/120.png
121,η καταγωγή,origin / background,assets/121.png
122,η γλώσσα,the language,assets/122.png
123,μιλάω/μιλώ,I speak,assets/123.png
124,συζητάω/συζητώ,I discuss / talk,assets/124.png
125,χαιρετάω/χαιρετώ,I greet,assets/125.png
126,γελάω/γελώ,I laugh,assets/126.png
127,αγαπάω/αγαπώ,I love,assets/127.png
128,τραγουδάω/τραγουδώ,I sing,assets/128.png
129,κελαηδάω/κελαηδώ,I chirp / sing (bird),assets/129.png
130,το σχολείο,the school,assets/130.png
131,το Δημοτικό (σχολείο),elementary school,assets/131.png
132,η τάξη,the class / classroom,assets/132.png
133,η Δευτέρα (2 α) Δημοτικού,second grade,assets/133.png
134,ο δάσκαλος-ο κύριος,the male teacher / sir,assets/134.png
135,η δασκάλα-η κυρία,the female teacher / ma'am,assets/135.png
136,ο μαθητής,the male student,assets/136.png
137,η μαθήτρια,the female student,assets/137.png
138,το μάθημα,the lesson / subject,assets/138.png
139,ο φίλος,the male friend,assets/139.png
140,η φίλη,the female friend,assets/140.png
141,ο πίνακας,the board,assets/141.png
142,ο μαρκαδόρος,the marker,assets/142.png
143,ο χάρτης,the map,assets/143.png
144,ο τοίχος,the wall,assets/144.png
145,το θρανίο,the desk,assets/145.png
146,το πράσινο χρώμα,the color green,assets/146.png
147,το θαλασσί χρώμα,the light blue color,assets/147.png
148,πηγαίνω στο σχολείο,I go to school,assets/148.png
149,βλέπω στον πίνακα,I look at the board,assets/149.png
150,κάνω ησυχία,I am quiet,assets/150.png
151,μαλώνω,I argue / scold,assets/151.png
152,γράφω,I write,assets/152.png
153,ακούω,I listen,assets/153.png
154,έχω,I have,assets/154.png
155,το σχολείο αρχίζει,school starts,assets/155.png
156,ο χάρακας,the ruler,assets/156.png
157,ο υπολογιστής,the computer,assets/157.png
158,η τσάντα,the schoolbag / bag,assets/158.png
159,η κασετίνα,the pencil case,assets/159.png
160,η σβήστρα,the eraser,assets/160.png
161,η ξύστρα,the pencil sharpener,assets/161.png
162,η κόλλα,the glue,assets/162.png
163,η αφίσα,the poster,assets/163.png
164,η κρεμάστρα,the coat rack / hanger,assets/164.png
165,η κιθάρα,the guitar,assets/165.png
166,η κουρτίνα,the curtain,assets/166.png
167,η καρέκλα,the chair,assets/167.png
168,η βιβλιοθήκη,the bookcase / library,assets/168.png
169,οι μπογιές,the crayons / paints,assets/169.png
170,το βιβλίο,the book,assets/170.png
171,το τετράδιο,the notebook,assets/171.png
172,το στιλό,the pen,assets/172.png
173,το μολύβι,the pencil,assets/173.png
174,το καλάθι,the basket,assets/174.png
175,το μωβ χρώμα,the color purple,assets/175.png
176,η Γλώσσα,Language,assets/176.png
177,η Ιστορία,History,assets/177.png
178,η Γεωγραφία,Geography,assets/178.png
179,η Μουσική,Music,assets/179.png
180,η Ζωγραφική,Art,assets/180.png
181,η Φυσική,Physics,assets/181.png
182,η Χημεία,Chemistry,assets/182.png
183,η Γεωμετρία,Geometry,assets/183.png
184,η Πληροφορική,Computer Science,assets/184.png
185,τα Μαθηματικά,Mathematics,assets/185.png
186,μου αρέσει,I like,assets/186.png
187,υπάρχει,there is / there are,assets/187.png
188,το κουκλοθέατρο,the puppet theater,assets/188.png
189,το παραμύθι,the fairy tale / story,assets/189.png
190,το αστέρι,the star,assets/190.png
191,το μωρό,the baby,assets/191.png
192,το καπέλο,the hat,assets/192.png
193,το κάστρο,the castle,assets/193.png
194,το δέντρο,the tree,assets/194.png
195,το τύμπανο,the drum,assets/195.png
196,το φόρεμα,the dress,assets/196.png
197,τα κουζινικά,the kitchen set / kitchen things,assets/197.png
198,η κούκλα,the doll,assets/198.png
199,τα παιχνίδια,the toys,assets/199.png
200,το τρενάκι,the toy train,assets/200.png
201,το αυτοκινητάκι,the toy car,assets/201.png
202,το αεροπλανάκι,the toy airplane,assets/202.png
203,το ποδοσφαιράκι,the foosball game,assets/203.png
204,το καράβι,the boat / ship,assets/204.png
205,η μπάλα,the ball,assets/205.png
206,το επιτραπέζιο παιχνίδι,the board game,assets/206.png
207,το σκάκι,chess,assets/207.png
208,τα ζωάκια,the toy animals / little animals,assets/208.png
209,το αρκουδάκι,the teddy bear,assets/209.png
210,το δελφίνι,the dolphin,assets/210.png
211,το σκυλί,the dog,assets/211.png
212,το λιοντάρι,the lion,assets/212.png
213,το ποντίκι,the mouse,assets/213.png
214,το άλογο,the horse,assets/214.png
215,αγοράζω δώρο,I buy a gift,assets/215.png
216,δίνω χρήματα,I give money,assets/216.png
217,θέλω,I want,assets/217.png
218,11-100,11-100,assets/218.png
219,η οικογένεια,the family,assets/219.png
220,οι γονείς,the parents,assets/220.png
221,ο μπαμπάς,the dad,assets/221.png
222,η μαμά,the mom,assets/222.png
223,ο γιος,the son,assets/223.png
224,η κόρη,the daughter,assets/224.png
225,ο αδερφός,the brother,assets/225.png
226,η αδερφή,the sister,assets/226.png
227,τα αδέρφια,the siblings,assets/227.png
228,ο παππούς,the grandfather,assets/228.png
229,η γιαγιά,the grandmother,assets/229.png
230,τα εγγόνια,the grandchildren,assets/230.png
231,ο θείος,the uncle,assets/231.png
232,η θεία,the aunt,assets/232.png
233,ο ανιψιός,the nephew,assets/233.png
234,η ανιψιά,the niece,assets/234.png
235,ο ξάδερφος,the male cousin,assets/235.png
236,η ξαδέρφη,the female cousin,assets/236.png
237,το σπίτι,the house,assets/237.png
238,το λουλούδι,the flower,assets/238.png
239,η κότα,the hen,assets/239.png
240,το αβγό,the egg,assets/240.png
241,το δάσος,the forest,assets/241.png
242,το πουλί,the bird,assets/242.png
243,ο λύκος,the wolf,assets/243.png
244,περπατάω,I walk,assets/244.png
245,κάνω παρέα,I hang out / keep company,assets/245.png
246,πηγαίνω στη δουλειά,I go to work,assets/246.png
247,ψηλός ≠ κοντός,tall ≠ short,assets/247.png
248,αδύνατος ≠ χοντρός,thin ≠ fat,assets/248.png
249,μικρός ≠ μεγάλος,small ≠ big,assets/249.png
250,άσχημος ≠ όμορφος,ugly ≠ beautiful,assets/250.png
251,γρήγορος ≠ αργός,fast ≠ slow,assets/251.png
252,δυνατός,strong,assets/252.png
253,σοφός,wise,assets/253.png
254,μακριά μαλλιά ≠ κοντά μαλλιά,long hair ≠ short hair,assets/254.png
255,σγουρά μαλλιά ≠ ίσια μαλλιά,curly hair ≠ straight hair,assets/255.png
256,ξανθά μαλλιά (ξανθός) ≠ μαύρα μαλλιά (μελαχρινός),blond hair (blond) ≠ black hair (brunette),assets/256.png
257,καφέ μάτια ≠ γαλανά μάτια,brown eyes ≠ blue eyes,assets/257.png
258,πράσινος,green,assets/258.png
259,κόκκινος,red,assets/259.png
260,κίτρινος,yellow,assets/260.png
261,άσπρος,white,assets/261.png
262,μαύρος,black,assets/262.png
263,γαλανός,light blue,assets/263.png
264,ο συμμαθητής,the male classmate,assets/264.png
265,η συμμαθήτρια,the female classmate,assets/265.png
266,ο διπλανός στο θρανίο,the boy/man sitting next to me at the desk,assets/266.png
267,η διπλανή στο θρανίο,the girl/woman sitting next to me at the desk,assets/267.png
268,ωραίος,nice / handsome,assets/268.png
269,γενναίος,brave,assets/269.png
270,σπουδαίος,important / great,assets/270.png
271,πλούσιος ≠ φτωχός,rich ≠ poor,assets/271.png
272,παλιός ≠ καινούριος/νέος/μοντέρνος,old ≠ new / modern,assets/272.png
273,νέος ≠ γέρος,young ≠ old,assets/273.png
274,τεράστιος,huge,assets/274.png
275,γλυκός,sweet,assets/275.png
276,κακός,bad,assets/276.png
277,αστείος,funny,assets/277.png
278,αθώος,innocent,assets/278.png
279,η Χιονάτη,Snow White,assets/279.png
280,η Σταχτοπούτα,Cinderella,assets/280.png
281,ο ιππότης,the knight,assets/281.png
282,η πανοπλία,the armor,assets/282.png
283,ο γίγαντας,the giant,assets/283.png
284,ο νάνος,the dwarf,assets/284.png
285,η νεράϊδα,the fairy,assets/285.png
286,ο πειρατής,the pirate,assets/286.png
287,ο θησαυρός,the treasure,assets/287.png
288,ο βασιλιάς,the king,assets/288.png
289,η βασίλισσα,the queen,assets/289.png
290,ο μάγος,the wizard,assets/290.png
291,η μάγισσα,the witch,assets/291.png
292,το σκουπόξυλο,the broomstick,assets/292.png
293,το πρωί,the morning,assets/293.png
294,το μεσημέρι,noon,assets/294.png
295,το απόγευμα,the afternoon,assets/295.png
296,το βράδυ ≠ η μέρα,the night/evening ≠ the day,assets/296.png
297,σήμερα,today,assets/297.png
298,η εβδομάδα,the week,assets/298.png
299,η Κυριακή,Sunday,assets/299.png
300,η Δευτέρα,Monday,assets/300.png
301,η Τρίτη,Tuesday,assets/301.png
302,η Τετάρτη,Wednesday,assets/302.png
303,η Πέμπτη,Thursday,assets/303.png
304,η Παρασκευή,Friday,assets/304.png
305,το Σάββατο,Saturday,assets/305.png
306,Τι ώρα είναι;,What time is it?,assets/306.png
307,7 ακριβώς! [19:00],7 o'clock exactly [19:00],assets/307.png
308,7 και τέταρτο! [19:15],quarter past 7 [19:15],assets/308.png
309,7 και μισή! [19:30],half past 7 [19:30],assets/309.png
310,8 παρά τέταρτο! [19:45],quarter to 8 [19:45],assets/310.png
311,8 ακριβώς! [20:00],8 o'clock exactly [20:00],assets/311.png
312,βλέπω τηλεόραση,I watch television,assets/312.png
313,βλέπω παιδικά,I watch children's shows,assets/313.png
314,βλέπω κινούμενα σχέδια,I watch cartoons,assets/314.png
315,βλέπω ξένες ταινίες,I watch foreign movies,assets/315.png
316,βλέπω ταινίες στην τηλεόραση,I watch movies on television,assets/316.png
317,βλέπω ταινίες στον κινηματογράφο,I watch movies at the movie theater,assets/317.png
318,βλέπω ποδόσφαιρο,I watch soccer,assets/318.png
319,βλέπω αγώνες μπάσκετ,I watch basketball games,assets/319.png
320,βλέπω εκπομπή με χορούς,I watch a show with dancing,assets/320.png
321,βλέπω εκπομπή με τραγούδια,I watch a show with songs,assets/321.png
322,ο ηθοποιός,the actor,assets/322.png
323,κερδίζω ≠ χάνω,I win ≠ I lose,assets/323.png
324,ο αγώνας ξεκινάει,the game starts,assets/324.png
325,το σπίτι,the house,assets/325.png
326,το σπίτι στο βουνό,the house in the mountains,assets/326.png
327,το σπίτι στη θάλασσα,the house by the sea,assets/327.png
328,η μονοκατοικία,the single-family house,assets/328.png
329,η πολυκατοικία,the apartment building,assets/329.png
330,ο κήπος,the garden,assets/330.png
331,η θέα,the view,assets/331.png
332,το πάρκιγκ,the parking area,assets/332.png
333,το ασανσέρ,the elevator,assets/333.png
334,το μπαλκόνι,the balcony,assets/334.png
335,ο πάνω όροφος,the upper floor,assets/335.png
336,ο κάτω όροφος,the lower floor,assets/336.png
337,ο τελευταίος όροφος,the top floor,assets/337.png
338,το σαλόνι,the living room,assets/338.png
339,ο καναπές,the sofa,assets/339.png
340,η πολυθρόνα,the armchair,assets/340.png
341,το τραπέζι (το τραπεζάκι),the table (the small table),assets/341.png
342,το τζάκι,the fireplace,assets/342.png
343,το μπάνιο,the bathroom,assets/343.png
344,η μπανιέρα,the bathtub,assets/344.png
345,η λεκάνη,the toilet bowl,assets/345.png
346,η βρύση,the faucet,assets/346.png
347,το πλυντήριο,the washing machine,assets/347.png
348,το υπνοδωμάτιο,the bedroom,assets/348.png
349,ο καθρέφτης,the mirror,assets/349.png
350,η βιβλιοθήκη,the bookcase,assets/350.png
351,η ντουλάπα,the closet / wardrobe,assets/351.png
352,το κρεβάτι,the bed,assets/352.png
353,η κουζίνα,the kitchen,assets/353.png
354,η ηλεκτρική κουζίνα,the stove / electric range,assets/354.png
355,το ψυγείο,the refrigerator,assets/355.png
356,το ντουλάπι,the cabinet,assets/356.png
357,το δωμάτιο,the room,assets/357.png
358,τα έπιπλα,the furniture,assets/358.png
359,βρόμικος ≠ καθαρός,dirty ≠ clean,assets/359.png
360,καθαρίζω,I clean,assets/360.png
361,ανοίγω,I open,assets/361.png
362,μέσα ≠ έξω,inside ≠ outside,assets/362.png
363,το ρολόι,the clock,assets/363.png
364,το ράφι,the shelf,assets/364.png
365,το μονό κρεβάτι ≠ διπλό κρεβάτι,the single bed ≠ the double bed,assets/365.png
366,το μαξιλάρι,the pillow,assets/366.png
367,το γραφείο,the desk / office,assets/367.png
368,το συρτάρι,the drawer,assets/368.png
369,το χαρτί,the paper,assets/369.png
370,ο ηλεκτρονικός υπολογιστής,the computer,assets/370.png
371,το πάτωμα,the floor,assets/371.png
372,το χαλί,the rug / carpet,assets/372.png
373,το κουτί,the box,assets/373.png
374,το παράθυρο,the window,assets/374.png
375,φωτεινός ≠ σκούρος,bright/light ≠ dark,assets/375.png
376,αλλάζω,I change,assets/376.png
377,βάφω,I paint,assets/377.png
378,βάζω ≠ βγάζω,I put in/on ≠ I take out/off,assets/378.png
379,πάνω ≠ κάτω,up / above ≠ down / below,assets/379.png
380,το χωριό,the village,assets/380.png
381,ο γείτονας,the neighbor,assets/381.png
382,η γειτονιά,the neighborhood,assets/382.png
383,η εκκλησία,the church,assets/383.png
384,η πλατεία,the town square,assets/384.png
385,το καφενείο,the café / coffeehouse,assets/385.png
386,η ησυχία ≠ η φασαρία,quiet ≠ noise,assets/386.png
387,ο ήσυχος δρόμος,the quiet street,assets/387.png
388,η ήσυχη περιοχή,the quiet area,assets/388.png
389,η πόλη,the city,assets/389.png
390,η τράπεζα (τα χρήματα),the bank (money),assets/390.png
391,το νοσοκομείο (ο γιατρός),the hospital (doctor),assets/391.png
392,το ταχυδρομείο (στέλνω γράμμα),the post office (I send a letter),assets/392.png
393,το πάρκο (η παιδική χαρά),the park (playground),assets/393.png
394,το μουσείο,the museum,assets/394.png
395,τα φανάρια (το αυτοκίνητο),the traffic lights (car),assets/395.png
396,τα μαγαζιά,the stores,assets/396.png
397,ποτίζω τα λουλούδια,I water the flowers,assets/397.png
398,περνάω τον δρόμο,I cross the street,assets/398.png
399,κοντά ≠ μακριά,near ≠ far,assets/399.png
400,μπροστά ≠ πίσω,in front ≠ behind,assets/400.png
401,η κούνια (κάνω κούνια),the swing (I swing),assets/401.png
402,η τραμπάλα (κάνω τραμπάλα),the seesaw (I ride the seesaw),assets/402.png
403,η τσουλήθρα (κάνω τσουλήθρα),the slide (I go down the slide),assets/403.png
404,το ποδήλατο (κάνω ποδήλατο),the bicycle (I ride a bicycle),assets/404.png
405,το πατίνι (κάνω πατίνι),the scooter (I ride a scooter),assets/405.png
406,το κουτσό (παίζω κουτσό),hopscotch (I play hopscotch),assets/406.png
407,το κρυφτό (παίζω κρυφτό),hide-and-seek (I play hide-and-seek),assets/407.png
408,το κυνηγητό (παίζω κυνηγητό),tag (I play tag),assets/408.png
409,τρέχω,I run,assets/409.png
410,κουνάω,I swing / move,assets/410.png
411,φεύγω,I leave,assets/411.png
412,ανεβαίνω ≠ κατεβαίνω,I go up ≠ I go down,assets/412.png
413,περνάω ωραία = περνάω καλά,I have a good time,assets/413.png
414,Ευχαριστώ πολύ!,Thank you very much!,assets/414.png
415,Με γεια σου!,Enjoy it! / Wear it in good health!,assets/415.png
416,ψηλά ≠ χαμηλά,high ≠ low,assets/416.png
417,γρήγορα ≠ αργά,quickly ≠ slowly,assets/417.png
418,εύκολα ≠ δύσκολα,easily ≠ with difficulty,assets/418.png
419,το τσίρκο,the circus,assets/419.png
420,ο κλόουν,the clown,assets/420.png
421,ο ακροβάτης,the acrobat,assets/421.png
422,ο χορευτής,the male dancer,assets/422.png
423,η χορεύτρια,the female dancer,assets/423.png
424,το μπαλόνι,the balloon,assets/424.png
425,το μαντίλι,the scarf / handkerchief,assets/425.png
426,το κουνέλι,the rabbit,assets/426.png
427,η παράσταση (η παράσταση αρχίζει),the performance (the performance starts),assets/427.png
428,ο θεατής,the spectator,assets/428.png
429,η θέση,the seat / position,assets/429.png
430,"το εισιτήριο (παιδικό, δωρεάν)","the ticket (child, free)",assets/430.png
431,χαρούμενος ≠ λυπημένος,happy ≠ sad,assets/431.png
432,φτηνός ≠ ακριβός,cheap ≠ expensive,assets/432.png
433,πιο (πολύ),more,assets/433.png
434,κάνω αστεία,I make jokes,assets/434.png
435,κάνω μαγικά κόλπα,I do magic tricks,assets/435.png
436,Ορίστε!,Here you are!,assets/436.png
437,Καλή διασκέδαση!,Have fun!,assets/437.png
438,διαβάζω βιβλία,I read books,assets/438.png
439,διαβάζω παραμύθια,I read fairy tales,assets/439.png
440,λέω ιστορίες,I tell stories,assets/440.png
441,παίζω κιθάρα,I play guitar,assets/441.png
442,παίζω στην αυλή,I play in the yard,assets/442.png
443,πηγαίνω στο γήπεδο,I go to the stadium,assets/443.png
444,πηγαίνω στο θέατρο,I go to the theater,assets/444.png
445,πηγαίνω στο σινεμά,I go to the cinema,assets/445.png
446,τρώω στο σπίτι,I eat at home,assets/446.png
447,τρώω στο εστιατόριο,I eat at the restaurant,assets/447.png
448,τρώω σουβλάκι,I eat souvlaki,assets/448.png
449,πίνω χυμό,I drink juice,assets/449.png
450,ακούω μουσική,I listen to music,assets/450.png
451,χορεύω,I dance,assets/451.png
452,οδηγώ το αυτοκίνητο,I drive the car,assets/452.png
453,καλώ τους φίλους μου,I call my friends,assets/453.png
454,πηγαίνω στον παππού και στη γιαγιά,I go to Grandpa and Grandma,assets/454.png
455,έρχεται ο παππούς και η γιαγιά,Grandpa and Grandma come,assets/455.png
456,κάθομαι στο παγκάκι,I sit on the bench,assets/456.png
457,ξυπνάω νωρίς,I wake up early,assets/457.png
458,κοιμάμαι αργά,I go to sleep late,assets/458.png
459,το άθλημα,the sport,assets/459.png
460,πάω σε παιδότοπο,I go to the playground,assets/460.png
461,πάω (κάνω) βόλτα,I go for a walk,assets/461.png
462,ακούω ραδιόφωνο,I listen to the radio,assets/462.png
463,βγαίνω έξω,I go out,assets/463.png
464,διαλέγω ταινίες,I choose movies,assets/464.png
465,πίνω αναψυκτικό,I drink soda,assets/465.png
466,μπαίνω ≠ βγαίνω,I go in ≠ I go out,assets/466.png
467,πολύ ≠ λίγο,a lot ≠ a little,assets/467.png
468,πριν ≠ μετά,before ≠ after,assets/468.png
469,καλά ≠ άσχημα,well ≠ badly,assets/469.png
470,κάνω δουλειές στο σπίτι,I do chores at home,assets/470.png
471,ετοιμάζω (γράφω) τη λίστα με τα ψώνια,I prepare (write) the shopping list,assets/471.png
472,ψωνίζω = αγοράζω ≠ πουλάω,I shop = I buy ≠ I sell,assets/472.png
473,πληρώνω,I pay,assets/473.png
474,ανοίγω ≠ κλείνω,I open ≠ I close,assets/474.png
475,σβήνω τα κεράκια,I blow out the candles,assets/475.png
476,η πίτα,the pie,assets/476.png
477,η πίτσα,the pizza,assets/477.png
478,το σάντουιτς (με ψωμί),the sandwich (with bread),assets/478.png
479,το χάμπουργκερ,the hamburger,assets/479.png
480,τα πατατάκια,the chips,assets/480.png
481,τα γαριδάκια,the cheese puffs,assets/481.png
482,τα ποπ κορν,the popcorn,assets/482.png
483,τα τυροπιτάκια,the small cheese pies,assets/483.png
484,η πορτοκαλάδα,the orangeade,assets/484.png
485,η λεμονάδα,the lemonade,assets/485.png
486,το μαγαζί,the store,assets/486.png
487,το δώρο,the gift,assets/487.png
488,το ταμείο,the checkout / cash register,assets/488.png
489,τα λεφτά = τα χρήματα,the money,assets/489.png
490,τα ρέστα,the change,assets/490.png
491,χωρίς,without,assets/491.png
492,αύριο,tomorrow,assets/492.png
493,πεινώ (πεινάω),I am hungry,assets/493.png
494,διψώ (διψάω),I am thirsty,assets/494.png
495,κρεμώ (κρεμάω) τη γιρλάντα = βάζω τη γιρλάντα,I hang the garland = I put up the garland,assets/495.png
496,φορώ (φοράω),I wear,assets/496.png
497,πονώ (πονάω),I hurt / I am in pain,assets/497.png
498,βοηθώ (βοηθάω),I help,assets/498.png
499,ρωτώ (ρωτάω),I ask,assets/499.png
500,αργώ,I am late,assets/500.png
501,τηλεφωνώ = παίρνω τηλέφωνο,I call on the phone,assets/501.png
502,φουσκώνω τα μπαλόνια,I blow up the balloons,assets/502.png
503,η φούστα,the skirt,assets/503.png
504,η μπλούζα,the blouse / shirt,assets/504.png
505,το φόρεμα,the dress,assets/505.png
506,το πουκάμισο,the shirt,assets/506.png
507,το παντελόνι,the pants,assets/507.png
508,το τζιν,the jeans,assets/508.png
509,τα παπούτσια,the shoes,assets/509.png
510,η πρόσκληση,the invitation,assets/510.png
511,η ημερομηνία,the date,assets/511.png
512,τα γενέθλια = η γιορτή,the birthday = the celebration,assets/512.png
513,πάντα,always,assets/513.png
514,φέτος,this year,assets/514.png
515,πηγαίνω (πάω) στην αγορά,I go to the market,assets/515.png
516,ψάχνω δώρο,I look for a gift,assets/516.png
517,βρίσκω ≠ χάνω,I find ≠ I lose,assets/517.png
518,παίρνω ≠ δίνω,I take/get ≠ I give,assets/518.png
519,φεύγω ≠ έρχομαι,I leave ≠ I come,assets/519.png
520,η τιμή,the price,assets/520.png
521,το ημερολόγιο,the calendar / planner,assets/521.png
522,το βιβλιοπωλείο,the bookstore,assets/522.png
523,πάω (πηγαίνω) με τα πόδια = περπατάω,I go on foot = I walk,assets/523.png
524,συναντάω στον δρόμο,I meet someone on the street,assets/524.png
525,ταξιδεύω,I travel,assets/525.png
526,η βάρκα (η θάλασσα),the boat (the sea),assets/526.png
527,το πλοίο,the ship,assets/527.png
528,ο καπετάνιος,the captain,assets/528.png
529,το λιμάνι,the port,assets/529.png
530,το ελικόπτερο (ο αέρας),the helicopter (the air),assets/530.png
531,το αεροπλάνο,the airplane,assets/531.png
532,ο πιλότος,the pilot,assets/532.png
533,ο/η αεροσυνοδός,the flight attendant,assets/533.png
534,το αεροδρόμιο,the airport,assets/534.png
